frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
138,-1,-1.0 -1.0 -1.0 -1.0,2337.0783169395045 2086.0637078536183 2557.0324964021383 2160.0,0,0,0
139,-1,-1.0 -1.0 -1.0 -1.0,2359.21921900699 2086.2228618421054 2578.614334909539 2160.0,0,0,0
140,-1,-1.0 -1.0 -1.0 -1.0,2381.3601210744755 2086.382015830592 2600.196173416941 2160.0,0,0,0
141,-1,-1.0 -1.0 -1.0 -1.0,2403.5010231419615 2086.5411698190787 2621.778011924342 2160.0,0,0,0
142,-1,-1.0 -1.0 -1.0 -1.0,2425.641925209447 2086.700323807566 2643.3598504317433 2160.0,0,0,0
143,-1,-1.0 -1.0 -1.0 -1.0,2447.7828272769325 2086.8594777960525 2664.9416889391446 2160.0,0,0,0
144,-1,-1.0 -1.0 -1.0 -1.0,2469.9237293444185 2087.0186317845396 2686.523527446546 2160.0,0,0,0
145,-1,-1.0 -1.0 -1.0 -1.0,2492.064631411904 2087.1777857730262 2708.1053659539475 2160.0,0,0,0
146,-1,-1.0 -1.0 -1.0 -1.0,2514.2055334793895 2087.3369397615133 2729.6872044613483 2160.0,0,0,0
147,-1,-1.0 -1.0 -1.0 -1.0,2536.346435546875 2087.49609375 2751.26904296875 2160.0,0.5958277583122253,MT51VSU,0.1948857724135838
148,-1,-1.0 -1.0 -1.0 -1.0,2536.184705734253 2087.304470062256 2751.231922149658 2160.0,0,0,0
149,-1,-1.0 -1.0 -1.0 -1.0,2536.022975921631 2087.1128463745117 2751.1948013305664 2160.0,0,0,0
150,-1,-1.0 -1.0 -1.0 -1.0,2535.861246109009 2086.9212226867676 2751.1576805114746 2160.0,0,0,0
151,-1,-1.0 -1.0 -1.0 -1.0,2535.6995162963867 2086.7295989990234 2751.120559692383 2160.0,0,0,0
152,-1,-1.0 -1.0 -1.0 -1.0,2535.5377864837646 2086.5379753112793 2751.083438873291 2160.0,0,0,0
153,-1,-1.0 -1.0 -1.0 -1.0,2535.3760566711426 2086.346351623535 2751.046318054199 2160.0,0,0,0
154,-1,-1.0 -1.0 -1.0 -1.0,2535.2143268585205 2086.154727935791 2751.0091972351074 2160.0,0,0,0
155,-1,-1.0 -1.0 -1.0 -1.0,2535.0525970458984 2085.963104248047 2750.9720764160156 2160.0,0,0,0
156,-1,-1.0 -1.0 -1.0 -1.0,2534.8908672332764 2085.7714805603027 2750.934955596924 2160.0,0,0,0
157,-1,-1.0 -1.0 -1.0 -1.0,2534.7291374206543 2085.5798568725586 2750.897834777832 2160.0,0,0,0
