frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
51,3.0,[648.4604815232326 1532.195254788406 1380.5400313238738 2152.7470231254824],[900.3278198242188 1977.401123046875 1144.9892578125 2067.61572265625],0.6053454279899597,NA13NRU,0.42943856897284316
52,3.0,[645.7620418721873 1536.4298307049473 1379.9629006479126 2153.2775492095698],[871.646484375 1980.4903564453125 1134.790771484375 2069.3623046875],0.5173957347869873,NA13NRU,0.8173920879394974
53,3.0,[645.9770507446513 1539.6491154697621 1381.364001244279 2152.5172602384537],[896.93505859375 1986.1673583984375 1135.3883056640625 2073.51513671875],0.44618403911590576,NA13MRU,0.40137043021574503
56,3.0,[636.4029313932043 1550.2569350500046 1378.94101052806 2152.164507642989],[920.112548828125 2006.8699951171875 1144.91455078125 2086.996826171875],0.5834298729896545,NA13NRU,0.21962945962282018
60,3.0,[632.8344676803758 1565.516650644919 1372.9209167730216 2152.3565784512475],[897.2971801757812 2027.640380859375 1113.77392578125 2112.719970703125],0.6062096357345581,NA13NRU,0.42010975594438327
61,3.0,[633.550265972306 1566.9399779204653 1372.1749524353904 2151.5053430023545],[897.0770874023438 2027.56640625 1114.4056396484375 2112.8701171875],0.6061191558837891,NA13NRU,0.3708193201081865
64,3.0,[631.3712082437954 1581.696952202396 1368.4546113651231 2151.9985815711443],[870.9243774414062 2043.111328125 1117.4134521484375 2140.150634765625],0.5306913256645203,NA13NRU,0.5421283180491124
65,3.0,[624.1527572737798 1586.4682254401878 1364.560101749525 2151.565368960389],[890.6934814453125 2053.0673828125 1119.94482421875 2142.53857421875],0.5933371186256409,NA13NRU,0.4124869966093497
66,-1,[-1 -1 -1 -1],[850.4683227539062 2056.131591796875 1123.180419921875 2153.73046875],0.5621437430381775,NA13NRU,0.38556241014896264
68,-1,[-1 -1 -1 -1],[845.9628295898438 2058.749267578125 1138.1749267578125 2157.193115234375],0.5286003351211548,NA13NFU,0.15591150842692383
69,5.0,[2215.974336818149 1315.2695829183654 2872.8161081574526 1972.0758154334326],[2452.24755859375 1769.556884765625 2642.25 1853.3660888671875],0.6332753896713257,NU51VSU,0.07520933777002832
71,-1,[-1 -1 -1 -1],[853.6378784179688 2075.400390625 1111.04931640625 2160.0],0.5228427052497864,TA13NRU,0.28432043451623984
83,6.0,[1138.5591054161987 1140.4876906464108 1717.4025873439336 1593.1565114323805],[1351.1412353515625 1416.9559326171875 1523.9656982421875 1501.8575439453125],0.30725809931755066,GX15DCJ,0.09331451003975444
88,6.0,[1133.039645900023 1149.894180257156 1708.5422910537259 1609.00518338275],[1356.0006103515625 1416.6805419921875 1511.1240234375 1499.9239501953125],0.29416099190711975,GY15OGJ,0.40576326923026595
91,5.0,[2219.218322386764 1374.9055498951766 2908.957031589165 2063.2425741014044],[2469.821044921875 1848.767578125 2667.9755859375 1938.8056640625],0.6478840112686157,CT51VSU,0.14379682880141634
93,5.0,[2222.810527259174 1381.0167011720614 2914.3504548921 2070.876802553117],[2476.708984375 1861.8907470703125 2670.362060546875 1945.9310302734375],0.6489167809486389,NI51YSU,0.022881069009750538
100,5.0,[2230.8108774569655 1402.549407631184 2939.1524199426085 2095.3661776313966],[2476.424560546875 1886.9913330078125 2674.4912109375 1970.3717041015625],0.6515424847602844,MZ51VSU,0.16106793420669846
101,5.0,[2233.0301365302284 1405.4610040549496 2944.656984745676 2099.2962645604725],[2475.498779296875 1892.4371337890625 2679.365478515625 1979.6912841796875],0.6366418600082397,NU51VSV,0.051764411370836594
108,5.0,[2235.8776996187944 1431.9877666139764 2953.4928098177925 2128.207181890008],[2488.4091796875 1922.451171875 2695.215087890625 2007.2784423828125],0.636817216873169,CO51WEU,0.010323062165417281
109,5.0,[2234.2706614703466 1435.0009082577994 2953.376212339799 2129.923923827745],[2488.42822265625 1922.6591796875 2695.17333984375 2007.272216796875],0.6361796259880066,CO51VEU,0.030226279054971876
112,5.0,[2239.458012640199 1445.4602851953407 2959.5874397983252 2139.94067562304],[2497.633544921875 1930.7744140625 2696.144775390625 2023.28076171875],0.6357864141464233,MT51VSU,0.1366648902467649
113,5.0,[2236.9217687718806 1447.9232453944014 2956.2857286444373 2142.1419449023083],[2496.36328125 1936.825927734375 2700.59423828125 2028.935302734375],0.6211729049682617,HT51VSU,0.06797329780151097
117,6.0,[1089.4065946736673 1203.2108925050532 1712.9795029002094 1687.3189671677621],[1327.7200927734375 1480.7945556640625 1467.12841796875 1573.2972412109375],0.27851584553718567,GX15OCJ,0.44722560419049134
126,6.0,[1077.7625953357726 1227.5114341910687 1695.933992752564 1712.4074001761894],[1305.896240234375 1523.580322265625 1476.1483154296875 1604.6748046875],0.5029153823852539,GX15OGJ,0.21481164801089261
127,6.0,[1078.681684770088 1229.409044354804 1694.8052592457775 1713.5867686629697],[1305.9984130859375 1523.64111328125 1476.159423828125 1604.608154296875],0.5016559362411499,GX15OGJ,0.21481164801089261
128,6.0,[1078.43765352748 1231.541133976331 1695.923156231609 1715.7539638434682],[1304.4202880859375 1524.9136962890625 1481.8011474609375 1603.9193115234375],0.4434093236923218,GX15OGJ,0.2662315076533636
129,6.0,[1076.741465858682 1234.0223862769378 1695.0732700899628 1717.9418027357308],[1306.6160888671875 1526.5506591796875 1476.929443359375 1608.5394287109375],0.4445655047893524,GU15OCJ,0.14228176158648384
130,6.0,[1075.622149889747 1236.03836092872 1693.0655439266607 1721.2707981266499],[1301.41162109375 1538.7557373046875 1471.164306640625 1610.0833740234375],0.4789623022079468,GX15OGJ,0.24591242534685967
131,6.0,[1073.9864137083684 1237.0070538389962 1692.0389263575332 1721.2108773121502],[1298.6119384765625 1536.62548828125 1480.6934814453125 1617.3409423828125],0.5464649796485901,GX15OCJ,0.29444202080163046
132,6.0,[1071.9424312396093 1239.571954421643 1690.7484552775943 1725.63425136864],[1275.70654296875 1534.00634765625 1469.5614013671875 1622.706298828125],0.42679646611213684,GX15OGJ,0.7931029521481748
133,6.0,[1071.3227271518087 1240.108116535995 1690.6949320452775 1727.447712217742],[1275.7415771484375 1534.0887451171875 1469.562744140625 1622.6224365234375],0.42874470353126526,GX15OGJ,0.7931029521481748
134,5.0,[2259.1194361453386 1505.870493575187 2973.0985479198002 2147.0092504755485],[2522.967529296875 2029.8211669921875 2726.31201171875 2116.860595703125],0.6473850011825562,MT51VSU,0.09730864816797441
135,6.0,[1069.6372561028566 1241.8469326845352 1692.9543310728604 1730.434643614346],[1276.757568359375 1542.563720703125 1469.3292236328125 1629.3740234375],0.3196055293083191,GX15OCJ,0.5268212895958011
142,6.0,[1059.499432343569 1259.052145441194 1688.257200148702 1756.0832543969725],[1288.5213623046875 1573.737060546875 1455.8468017578125 1648.4129638671875],0.4166668653488159,GX15OGJ,0.26981423610134114
143,6.0,[1056.356162553053 1261.0552829772446 1683.308660051019 1757.2287096220116],[1289.0701904296875 1571.595703125 1460.7894287109375 1652.921630859375],0.5610257387161255,GX15OGJ,0.28924789067637596
147,-1,[-1 -1 -1 -1],[2536.346435546875 2087.49609375 2751.26904296875 2160.0],0.5958277583122253,MT51VSU,0.1948857724135838
158,6.0,[1035.4173398542412 1290.3431864832144 1684.6881866583012 1806.2268514389377],[1267.4151611328125 1621.8834228515625 1437.355712890625 1697.2276611328125],0.5264032483100891,GX15OGJ,0.4191886277766686
159,6.0,[1032.9438328563222 1293.505563858011 1682.8622578974698 1810.1750380421072],[1267.3958740234375 1620.058349609375 1432.2725830078125 1699.1221923828125],0.5910071134567261,GX15OGJ,0.1817759599450343
160,6.0,[1028.7355250407295 1295.8174889000286 1681.7812168148153 1810.9117161905808],[1266.8184814453125 1624.316162109375 1440.0347900390625 1702.6724853515625],0.6032026410102844,GX15OGJ,0.2122094208901569
162,6.0,[1019.0508519935311 1304.4456594479364 1678.6705386272615 1821.423200359048],[1254.1524658203125 1628.499755859375 1441.154052734375 1709.73193359375],0.5870206952095032,GX15OGJ,0.2527705306400079
163,6.0,[1015.9674877309237 1305.6539003617204 1678.5456078211744 1822.6497678314422],[1254.1109619140625 1628.5634765625 1441.081787109375 1709.785400390625],0.5873203277587891,GX15OGJ,0.2527705306400079
170,6.0,[1004.2681849315685 1327.6539550526152 1682.6550124397136 1854.1164723397994],[1257.4276123046875 1652.8128662109375 1431.9871826171875 1736.6495361328125],0.5837481617927551,GX15OGJ,0.20285517117345292
171,6.0,[1002.9960185794841 1328.4090248637947 1681.990199621988 1855.8292897431804],[1259.028564453125 1656.700927734375 1432.0947265625 1740.9730224609375],0.4973859488964081,CX15OGJ,0.29425309510986203
173,6.0,[999.4351745745287 1330.8640365922743 1683.915030948852 1862.0273480981095],[1257.2431640625 1672.79296875 1438.6907958984375 1749.677490234375],0.6068975329399109,GX15OGJ,0.3379821535243917
174,6.0,[995.6221328559643 1332.9105360846695 1683.9290715446912 1866.685114229557],[1254.6519775390625 1670.206787109375 1435.8187255859375 1752.721435546875],0.5928311347961426,GX15OGJ,0.3418649135625597
175,6.0,[993.6624562929647 1333.163626002344 1684.7149417212918 1868.7559254295081],[1254.7098388671875 1670.2518310546875 1435.7674560546875 1752.7071533203125],0.5939828157424927,GX15OGJ,0.3418649135625597
176,6.0,[993.158858973095 1333.6057535877226 1685.3105375990976 1871.8375070851025],[1248.744140625 1674.7210693359375 1431.470947265625 1758.0164794921875],0.6175196766853333,GX15OGJ,0.512726882175151
180,6.0,[996.4236526900509 1344.8718504803587 1688.2155471497867 1883.3294298773367],[1239.44091796875 1686.0816650390625 1425.87744140625 1769.8992919921875],0.5915723443031311,GX15OGJ,0.38390893443348606
184,6.0,[985.2049861067684 1360.9312480365131 1685.7290288087415 1900.6970596612316],[1234.6597900390625 1704.0472412109375 1403.1746826171875 1780.1883544921875],0.4033742845058441,GX15OGJ,0.33711723119342996
185,6.0,[983.8318836351878 1362.983122907846 1686.7966139528016 1902.528889877359],[1230.2783203125 1712.2803955078125 1420.324951171875 1791.8836669921875],0.5600965619087219,GX15OGJ,0.3152255586910743
186,6.0,[978.6093329721298 1365.387180410975 1686.1367003712166 1904.601414048068],[1231.6761474609375 1708.8167724609375 1416.5848388671875 1790.9388427734375],0.5620253086090088,CX15OCJ,0.3348724166870615
187,6.0,[975.7748871292508 1366.271708408391 1686.6441604958452 1905.2423025512749],[1231.6290283203125 1708.7244873046875 1416.896240234375 1790.9608154296875],0.5612179040908813,CX15OCJ,0.3348724166870615
192,6.0,[966.816863774015 1379.711903375692 1682.3926446522405 1929.803262130588],[1222.291015625 1726.398193359375 1426.1624755859375 1815.218994140625],0.6171809434890747,GX15OGJ,0.2748505595658845
193,6.0,[966.2817337133664 1380.9170124880711 1682.0230603452064 1932.6217907835085],[1222.111572265625 1726.087646484375 1425.962890625 1815.0263671875],0.6187794208526611,GX15OGJ,0.2614965864676891
195,6.0,[964.6306320299695 1387.33299411778 1681.3856440761647 1942.5097723527892],[1222.564453125 1735.88671875 1416.2464599609375 1824.5533447265625],0.6010670065879822,GX15OCJ,0.38027010489460594
195,8.0,[1178.1693922805562 1021.593218811958 1634.1009066704214 1421.1002394723994],[1333.7681884765625 1242.49853515625 1474.93115234375 1319.21240234375],0.3307872712612152,KH35IIR,0.06003999277068491
197,8.0,[1176.943568852415 1023.5848025444592 1633.094984969648 1423.5055901549686],[1333.027587890625 1251.359619140625 1470.3077392578125 1323.1162109375],0.35997727513313293,KH45ZIK,0.1620505050135193
198,8.0,[1176.3359632759464 1025.8695019814138 1632.2085064638811 1424.88714108216],[1336.12255859375 1239.20068359375 1472.614501953125 1330.42578125],0.2544679045677185,AK05ZZO,0.11084242278700125
198,6.0,[960.0664144424172 1399.4785221297766 1680.0627365983005 1957.8000804032208],[1224.986328125 1741.7193603515625 1388.385986328125 1831.1671142578125],0.3293303847312927,GX15OCJ,0.6592667345784762
199,8.0,[1176.1811697441997 1026.9467859371127 1631.8118815032237 1425.323191142588],[1336.263427734375 1239.205078125 1472.619873046875 1330.47509765625],0.2552136778831482,AK05ZZO,0.1118343708040855
199,6.0,[958.310045895895 1401.1242792149794 1679.442215349132 1959.678187428389],[1224.9415283203125 1741.6871337890625 1388.8311767578125 1831.289794921875],0.3270755112171173,GX15OCJ,0.6592667345784762
200,8.0,[1176.1102713639038 1028.203741659193 1630.6637704725154 1425.7318045654424],[1324.953857421875 1237.1202392578125 1474.747314453125 1337.8919677734375],0.2742368280887604,KH05ZIK,0.114220924081516
204,1.0,[2055.6321480589377 1098.8323399618985 2559.9764810489896 1542.9422014497486],[2224.409423828125 1378.6900634765625 2397.832275390625 1453.5440673828125],0.33611980080604553,AP05JEQ,0.38753369185290304
205,1.0,[2055.2919351627293 1099.1190258816755 2561.940370391592 1544.5962483154494],[2224.49560546875 1378.7550048828125 2397.72802734375 1453.508544921875],0.3370303511619568,AP05JEQ,0.38753369185290304
206,1.0,[2054.147359008515 1101.6909050045722 2560.959877278471 1547.1971003285455],[2226.433837890625 1377.9700927734375 2405.162109375 1458.7825927734375],0.4551343619823456,AP05JEO,0.6512098966868168
207,6.0,[945.7711074014819 1428.5843510624568 1670.6471192322956 1993.3620824404102],[1201.3740234375 1779.8173828125 1396.6600341796875 1865.898193359375],0.5770485401153564,GR15OGJ,0.3168963608940037
208,1.0,[2052.584911835828 1106.4588528337479 2560.632550909159 1550.6795435244505],[2221.052734375 1382.1317138671875 2405.26904296875 1458.09716796875],0.4552499055862427,AP05JEQ,0.4772232921245564
209,6.0,[950.1590606472622 1435.0806464139216 1673.9174338030166 2000.841157904734],[1207.4132080078125 1791.3284912109375 1387.7186279296875 1878.0135498046875],0.5775201916694641,GX15OCJ,0.38645215895786383
209,1.0,[2052.2688471544475 1108.863160425346 2561.588151753525 1552.8997006040504],[2210.4501953125 1385.4097900390625 2391.55224609375 1462.5491943359375],0.3064654767513275,AP05JEQ,0.6616833490843405
212,6.0,[946.5496803011002 1443.1700718121951 1671.5528308600806 2009.2450028540475],[1204.9024658203125 1805.9044189453125 1393.0711669921875 1887.9942626953125],0.5676171183586121,GR15OGJ,0.3011727350941308
212,8.0,[1168.7754760948587 1047.9439945180745 1634.9598077716619 1442.7427982512388],[1334.2203369140625 1268.464599609375 1467.4892578125 1342.8187255859375],0.4706999957561493,YN05ZII,0.05336590631581335
216,8.0,[1158.9692285932051 1051.2533886892031 1626.3506487997483 1455.5505843128997],[1330.797119140625 1278.6298828125 1462.4615478515625 1353.806396484375],0.42304468154907227,KH35ZZA,0.06424872677727025
216,1.0,[2053.8420704217524 1119.3092752629225 2563.46379269965 1563.9917893151148],[2227.30126953125 1404.681884765625 2419.572509765625 1471.6878662109375],0.2563439607620239,AP05JEO,0.31191558555038085
217,8.0,[1157.9495205226785 1050.9837516910443 1625.4077189619547 1456.8906530942527],[1330.8248291015625 1278.6097412109375 1462.5406494140625 1353.8382568359375],0.4243079125881195,KH35ZZA,0.06424872677727025
217,1.0,[2053.97731757765 1120.2286505741858 2563.6204275409855 1565.1181299486088],[2227.2685546875 1404.600341796875 2419.638427734375 1471.7110595703125],0.25477269291877747,AP05JEO,0.31191558555038085
218,1.0,[2054.8147698617427 1122.8102053732687 2564.3880188521366 1568.3277784280904],[2225.99267578125 1401.5372314453125 2417.10205078125 1477.2430419921875],0.34837108850479126,AP05JEO,0.533809373001469
219,8.0,[1156.104140309761 1051.6683762158718 1626.1555973685313 1462.2634685358198],[1319.2518310546875 1280.0511474609375 1469.1412353515625 1359.65966796875],0.44070252776145935,YK35ZZA,0.22216865561910598
220,1.0,[2056.5170038787887 1126.7031136029261 2564.992268863693 1574.7870461990062],[2230.19775390625 1413.1025390625 2403.58251953125 1480.162353515625],0.29611799120903015,AP05JEO,0.3682005292190105
224,6.0,[927.6830365473788 1482.5265207370257 1660.108274930757 2065.2558955347376],[1184.4752197265625 1853.988037109375 1384.0997314453125 1937.14501953125],0.5950020551681519,GX15OCJ,0.34088071217624105
